1607,英語,10 ways to be healthy （Pocket readers . 10ways to）,"CatrionaTakeuchi,AndyBoon,",2018,2018,HALICO,,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000063307
1628,英語,キクタンサイエンス 工学編 ―聞いて覚える理系英単語―【音声付】,"佐藤, 洋一,アルク英語出版編集部,",2012,2018,アルク,9.78476E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000060718
1629,英語,キクタンサイエンス 情報科学編 ―聞いて覚える理系英単語―【音声付】,"平井, 通宏,アルク英語出版編集部,",2012,2018,アルク,9.78476E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000060719
1630,英語,キクタンサイエンス 生命科学編 ―聞いて覚える理系英単語―【音声付】,"近藤, 哲男,アルク文教教材編集部,",2012,2018,アルク,9.78476E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000060717
1631,英語,キクタンサイエンス 地球とエネルギー編 ―聞いて覚える理系英単語―【音声付】,"斎藤, 恭一,アルク英語出版編集部,",2012,2018,アルク,9.78476E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000060720
1649,英語,ビジネス英語はIRレポートで学べ! ―学生時代の英語力不問!お金も時間もかからない!―,"中村, 澄子",2009,2014,東洋経済新報社,9.78449E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000015356
1664,英語,りけ単 ―理系たまごの英単語&表現40日間トレーニング―（理系たまごシリーズ 6）,"信定, 薫",2009,2017,アルク,9.78476E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000042695
1670,英語,英語論文表現入門 ―中高基本150語から学ぶ英語学術表現の世界―,"安原, 和也",2011,2014,大学教育出版,9.78486E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000013266
1687,英語,起きてから寝るまで英単語帳 ―身の回りのすべてが英語で言えるように!―改訂第2版 【音声付】,"荒井, 貴和,武藤,克彦,",2018,2018,アルク,9.78476E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000065164
1688,英語,起きてから寝るまで話せる英文法 ―1日の生活に合わせ、文法が身に付くフレーズを英語でつぶやく→会話力&文法力がみるみるアップ!―,"長尾, 和夫",2015,2016,アルク,9.78476E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000031574
1689,英語,究極の英単語SVL v.2(中級の3000語),,2006,2016,アルク,9.78476E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000031500
1690,英語,究極の英単語プレミアム vol. 1 : 新装版 【音声付】,"向江, 龍治",2020,2020,アルク,9.78476E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000090985
1701,英語,災害時の英語,デイビッド・A・セイン,2014,2015,アスク出版,9.78487E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000023832
1732,英語,大学教員のための教室英語表現300 （英語で授業シリーズ 1）,"中井, 俊樹",2008,2017,アルク,9.78476E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000042697
1747,英語,中学1～2年レベル英文法100パーセント攻略【音声付】（究極の英会話 / 辰巳友昭監修上）,,2014,2016,アルク,9.78476E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000031515
1755,英語,動画でわかる！ Mr. Evineの中学英文法を修了するドリル 【動画】,,2020,2020,アルク,9.78476E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000089250
