1366,"アカデミック・スキル","アカデミック・リテラシー ―知へのいざない―【動画付】","佐藤  正典,山口有次,有賀  清一",2018,2019,"桜美林大学出版会",,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000077742
1367,"アカデミック・スキル","アカデミックライティング入門 ―英語論文作成法―第2版","吉田, 友子",2015,2015,"慶應義塾大学出版会",9784766422122,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000018747
1368,"アカデミック・スキル","あの研修医はすごい!と思わせる症例プレゼン ―ニーズに合わせた「伝わる」プレゼンテーション―","松尾, 貴公,水野,篤,",2019,2019,羊土社,9784758118507,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000075597
1369,"アカデミック・スキル","いよいよデビュー学会発表と論文作成  4（極意を伝授）","いわてイーハトーブ臨床研修病院群",2011,2014,"メジカルビュー社",9784758313032,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000014837
1370,"アカデミック・スキル","コピペしないレポートから始まる研究倫理 ―その一線、越えたらアウトです!―（ライフサイエンス選書）",上岡  洋晴,2016,2019,"ライフサイエンス出版",9784897753522,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000074521
1371,"アカデミック・スキル","コピペと言われないレポートの書き方教室 ― 3つのステップ : コピペから正しい引用へ―","山口, 裕之",2013,2017,新曜社,9784788513457,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000043534
1372,"アカデミック・スキル",さあ、医学研究をはじめよう!,"北風, 政史",2019,2019,中外医学社,9784498048720,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000076082
1373,"アカデミック・スキル","トップジャーナル395編の型で書く医学英語論文 ―言語学的Move分析が明かした執筆の武器になるパターンと頻出表現―","河本, 健,石井, 達也,",2018,2018,羊土社,9784758118286,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000052992
1374,"アカデミック・スキル","はじめてでもできてしまう科学英語プレゼン―5Sを学んで、いざ発表本番へ―","Philip Hawke,太田, 敏郎,",2018,2018,羊土社,9784758108508,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000068420
1375,"アカデミック・スキル",ひと目で伝わるプレゼン資料の全知識,,2020,2019,"インプレスＲ＆Ｄ／インプレスビジネスメディア",9784295008101,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000084594
1376,"アカデミック・スキル","プレゼンテーション入門 ―学生のためのプレゼン上達術―（アカデミック・スキルズ）","直江  健介,大出敦,慶應義塾大学教養研究センター",2020,2020,"慶應義塾大学出版会",9784766425734,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000096060
